_id,,x_mean,x_std,x_max,x_min,x_energy,x_iqr,y_mean,y_std,y_max,y_min,y_energy,y_iqr,z_mean,z_std,z_max,z_min,z_energy,z_iqr,sma,xy_corr,xz_corr,yz_corr
1,824,13371.52,297.5945475768722,14076.0,12408.0,178885224.0,266.0,-212.24,734.5384742142604,1300.0,-2196.0,579197.12,941.0,-9636.2,330.1645136301429,-8784.0,-10628.0,92964268.96,406.0,16503.64114969057,0.2345024260140725,0.38893152948567666,0.10223803251476611
1,849,13482.96,293.0095292689849,14248.0,12408.0,181875206.4,327.0,-192.52,551.822736872355,1300.0,-1680.0,338527.2,713.0,-9494.04,323.67210993147876,-8684.0,-10424.0,90240511.52,348.0,16504.85394291721,0.13201985859768514,0.5321353411030719,0.10596360594638718
1,874,13521.32,227.9550230314319,14248.0,12860.0,182877538.4,271.0,-234.68,442.8962730559742,392.0,-1680.0,249270.24,611.0,-9442.56,277.3895747169235,-8684.0,-10424.0,89238114.88,284.0,16502.86303948582,0.1743467095582315,0.6612601231694685,0.13498021809044608
1,899,13526.24,311.0222025918063,14252.0,12524.0,183054936.0,342.0,-110.64,451.6926531717074,768.0,-1796.0,214227.2,373.0,-9457.52,335.3797931548434,-8596.0,-10424.0,89556039.36,399.0,16515.371197774162,0.2609230765480952,0.3078565689814448,0.09752207844617132
1,924,13462.84,339.1941942518311,14252.0,12524.0,181361963.04,477.0,-481.84,793.7072548897672,768.0,-2168.0,855841.28,1491.0,-9508.24,341.25937645759046,-8596.0,-10424.0,90521921.28,503.0,16512.800425711543,0.49549318176307316,0.3829537595830196,0.32111003248235104
1,949,13361.64,294.71744797588667,14252.0,12524.0,178619413.28,340.0,-848.72,820.7180654952749,768.0,-2168.0,1387168.0,1554.0,-9608.76,266.22004720790125,-8596.0,-10204.0,92398433.12,353.0,16502.891393395927,0.4168127785597799,0.2109583025602845,0.18598155018585422
1,974,13279.44,279.6026155569129,14252.0,12524.0,176420922.56,269.0,-1171.16,648.4839930892146,768.0,-2168.0,1787941.92,416.0,-9697.72,255.64891013370365,-8596.0,-10204.0,94110476.0,291.0,16500.31173470651,0.3339402791802188,0.13427819016981665,0.014302178269473139
1,999,13218.64,142.45094991370436,13560.0,12924.0,174752532.8,196.0,-1427.56,220.0083708233083,-944.0,-2168.0,2085847.2,247.0,-9739.04,166.0464776118376,-9212.0,-10068.0,94876195.84,190.0,16483.56110513933,-0.3846573178406796,0.716043298751876,-0.46468294862991477
1,1024,13216.2,126.97999524304083,13560.0,12924.0,174683905.12,131.0,-1373.36,166.96092326946757,-944.0,-1776.0,1913714.88,233.0,-9753.8,153.68799562758903,-9388.0,-10068.0,95159998.24,171.0,16484.909604643617,-0.6135365205871395,0.735747989150218,-0.5994328904266202
1,1049,13196.04,149.38472600516783,13664.0,12496.0,174157564.32,130.0,-1371.84,155.6882873831104,-1012.0,-1764.0,1905941.44,215.0,-9796.24,164.67691785053916,-9388.0,-10592.0,95993165.44,173.0,16493.906883408148,0.02052013511488104,0.6887156997984393,-0.03529295057298589
1,1074,13265.16,196.51040119490708,13820.0,12496.0,176002700.0,190.0,-1383.92,154.23238926695345,-1004.0,-1764.0,1938784.32,174.0,-9709.96,232.79452595187087,-8816.0,-10592.0,94336974.56,229.0,16500.5314776958,0.1634299883745075,0.7538601672560906,0.15995754664919679
1,1099,13312.52,480.8469480767814,16964.0,11588.0,177452090.4,233.0,-1344.32,434.9743027356986,324.0,-3592.0,1994506.88,207.0,-9622.88,614.2275641861772,-4540.0,-11352.0,92973322.24,258.0,16503.795009963724,-0.6218869497298901,0.9114262112410368,-0.5871959767299129
