,_id,x,y,z
155761,97,12688,1300,-10584
155762,97,12732,1448,-10568
155763,97,12636,1256,-10648
155764,97,12764,1288,-10608
155765,97,12676,1388,-10544
155766,97,12700,1272,-10716
155767,97,12768,1356,-10500
155768,97,12748,1324,-10572
155769,97,12572,1280,-10588
155770,97,12772,1460,-10648
155771,97,12584,1440,-10664
155772,97,12716,1452,-10508
155773,97,12756,1444,-10488
155774,97,12832,1432,-10376
155775,97,12712,1352,-10620
155776,97,12756,1416,-10424
155777,97,12760,1276,-10492
155778,97,12724,1356,-10416
155779,97,12788,1300,-10596
155780,97,12756,1340,-10532
155781,97,12680,1396,-10472
155782,97,12668,1424,-10240
155783,97,12792,1324,-10444
155784,97,12792,1404,-10416
155785,97,12824,1360,-10468
155786,97,12696,1408,-10532
155787,97,12760,1360,-10252
155788,97,12708,1396,-10484
155789,97,12780,1384,-10692
155790,97,12796,1308,-10460
155791,97,12692,1332,-10644
155792,97,12520,1504,-10136
155793,97,12624,1476,-10188
155794,97,12628,1304,-10644
155795,97,12792,1472,-10532
155796,97,12832,1404,-10300
155797,97,12836,1344,-10664
155798,97,12736,1452,-10236
155799,97,12652,1288,-10516
155800,97,12640,1336,-10264
155801,97,12876,1320,-10384
155802,97,12796,1312,-10460
155803,97,12804,1248,-10480
155804,97,12772,1468,-10532
155805,97,12756,1396,-10388
155806,97,12632,1360,-10492
155807,97,12728,1440,-10516
155808,97,12884,1408,-10260
155809,97,12560,1412,-10492
155810,97,12788,1280,-10620
155811,97,12860,1392,-10348
155812,97,12668,1372,-10500
155813,97,12900,1336,-10560
155814,97,12772,1396,-10412
155815,97,12788,1356,-10476
155816,97,12748,1160,-10464
155817,97,12776,1400,-10516
155818,97,12660,1428,-10512
155819,97,12752,1296,-10620
155820,97,12692,1396,-10536
155821,97,12668,1420,-10396
155822,97,12824,1464,-10448
155823,97,12756,1396,-10496
155824,97,12824,1380,-10392
155825,97,12720,1392,-10584
155826,97,12752,1380,-10576
155827,97,12704,1416,-10516
155828,97,12792,1380,-10500
155829,97,12720,1416,-10508
155830,97,12724,1384,-10520
155831,97,12792,1272,-10504
155832,97,12748,1404,-10580
155833,97,12712,1448,-10560
155834,97,12732,1388,-10524
155835,97,12700,1416,-10584
155836,97,12772,1392,-10416
155837,97,12800,1432,-10504
155838,97,12772,1336,-10412
155839,97,12820,1428,-10560
155840,97,12712,1392,-10556
155841,97,12656,1420,-10548
155842,97,12792,1444,-10364
155843,97,12728,1384,-10444
155844,97,12784,1260,-10584
