data_id,_id,x,y,z
250,1,13400.0,-480.0,-9644.0
251,1,13320.0,-548.0,-9832.0
252,1,13240.0,-604.0,-9900.0
253,1,13272.0,-640.0,-9892.0
254,1,13532.0,-496.0,-9780.0
255,1,13684.0,-420.0,-9700.0
256,1,13340.0,-412.0,-9800.0
257,1,13284.0,-540.0,-9736.0
258,1,13436.0,-560.0,-9800.0
259,1,13420.0,-440.0,-9768.0
260,1,13380.0,-444.0,-9748.0
261,1,13528.0,-472.0,-9724.0
262,1,13352.0,-296.0,-9696.0
263,1,13412.0,-476.0,-9748.0
264,1,13508.0,-628.0,-9808.0
265,1,13420.0,-392.0,-9792.0
266,1,13404.0,-284.0,-9844.0
267,1,13408.0,-412.0,-9672.0
268,1,13448.0,-596.0,-9708.0
269,1,13332.0,-540.0,-9704.0
270,1,13536.0,-552.0,-9784.0
271,1,13380.0,-496.0,-9852.0
272,1,13288.0,-428.0,-9780.0
273,1,13464.0,-496.0,-9668.0
274,1,13240.0,-500.0,-9784.0
275,1,13256.0,-364.0,-9848.0
276,1,13400.0,-416.0,-9988.0
277,1,13428.0,-508.0,-9840.0
278,1,13524.0,-404.0,-9872.0
279,1,13388.0,-484.0,-9692.0
280,1,13380.0,-356.0,-9744.0
281,1,13368.0,-344.0,-9816.0
282,1,13540.0,-436.0,-9756.0
283,1,13436.0,-580.0,-9720.0
284,1,13416.0,-644.0,-9852.0
285,1,13420.0,-508.0,-9776.0
286,1,13324.0,-580.0,-9688.0
287,1,13448.0,-680.0,-9744.0
288,1,13288.0,-532.0,-9756.0
289,1,13264.0,-508.0,-9752.0
290,1,13452.0,-480.0,-9768.0
291,1,13484.0,-344.0,-9776.0
292,1,13420.0,-364.0,-9676.0
293,1,13452.0,-440.0,-9760.0
294,1,13480.0,-436.0,-9720.0
295,1,13372.0,-436.0,-9812.0
296,1,13324.0,-492.0,-9800.0
297,1,13344.0,-392.0,-9824.0
298,1,13552.0,-568.0,-9668.0
299,1,13520.0,-584.0,-9584.0
300,1,13692.0,-416.0,-9492.0
301,1,13688.0,-176.0,-9308.0
302,1,13728.0,-312.0,-9564.0
303,1,13692.0,-416.0,-9560.0
304,1,13572.0,-408.0,-9748.0
305,1,13304.0,-436.0,-9644.0
306,1,13432.0,-596.0,-9704.0
307,1,13596.0,-500.0,-9792.0
308,1,13508.0,-500.0,-9692.0
309,1,13440.0,-336.0,-9628.0
310,1,13492.0,-352.0,-9720.0
311,1,13412.0,-368.0,-9568.0
312,1,13564.0,-448.0,-9596.0
313,1,13460.0,-576.0,-9612.0
314,1,13464.0,-496.0,-9524.0
315,1,13544.0,-364.0,-9648.0
316,1,13628.0,-336.0,-9540.0
317,1,13676.0,-392.0,-9632.0
318,1,13696.0,-436.0,-9648.0
319,1,13416.0,-556.0,-9840.0
320,1,13224.0,-452.0,-9852.0
321,1,13412.0,-364.0,-9748.0
322,1,13544.0,-372.0,-9648.0
323,1,13548.0,-408.0,-9540.0
324,1,13564.0,-548.0,-9644.0
325,1,13472.0,-544.0,-9736.0
326,1,13516.0,-468.0,-9532.0
327,1,13532.0,-496.0,-9632.0
328,1,13492.0,-484.0,-9744.0
329,1,13428.0,-520.0,-9692.0
330,1,13476.0,-556.0,-9740.0
331,1,13472.0,-568.0,-9684.0
332,1,13344.0,-576.0,-9744.0
333,1,13356.0,-620.0,-9832.0
334,1,13364.0,-560.0,-9852.0
335,1,13416.0,-660.0,-9780.0
336,1,13472.0,-628.0,-9752.0
337,1,13568.0,-560.0,-9656.0
338,1,13484.0,-608.0,-9820.0
339,1,13308.0,-456.0,-9804.0
