_id,,x_mean,y_mean,z_mean,x_std,y_std,z_std,x_max,y_max,z_max,x_min,y_min,z_min,x_energy,y_energy,z_energy,x_iqr,y_iqr,z_iqr,xy_corr,xz_corr,yz_corr,sma
2,2008,10209.92,1107.36,-12937.52,474.4871690572887,433.2756671373702,420.2647216537056,11856.0,2336.0,-11364.0,9328.0,-140.0,-13572.0,104467604.48,1413973.9733333334,167556046.18666667,595.0,384.0,530.0,0.5133160808815148,0.8945298131008671,0.43720031324316727,16535.277751273552
2,2046,9990.053333333333,933.4133333333333,-13117.12,230.450335550972,370.31968507703647,221.55528790800724,10520.0,1716.0,-12436.0,9328.0,-140.0,-13572.0,99854272.96,1008397.12,172107923.84,353.0,508.0,291.0,0.6099862228401167,0.8614530930985443,0.580811468252573,16521.596681757273
2,2084,9969.6,832.32,-13140.266666666666,208.46665600682203,311.77206032613,186.5908417426273,10404.0,1428.0,-12700.0,9328.0,-140.0,-13572.0,99436382.50666666,789958.4,172701424.21333334,327.0,330.0,252.0,0.533986202221524,0.8425379095074026,0.5164767111412524,16520.338715510414
2,2122,9882.16,843.7066666666667,-13194.693333333333,309.61847662351585,627.0716019367769,259.8019745028039,10484.0,3012.0,-12668.0,8748.0,-1344.0,-14364.0,97752949.86666666,1105059.7333333334,174167429.22666666,386.0,378.0,307.0,0.2685662300025443,0.7003532282576457,0.44767390255665307,16522.824199959145
2,2160,9972.8,1136.9866666666667,-13103.893333333333,374.76620267396925,690.2667985319556,298.6093802203065,10664.0,3012.0,-12424.0,8748.0,-1344.0,-14364.0,99597189.54666667,1769206.9333333333,171801188.05333334,407.0,747.0,292.0,0.24219614287653468,0.7628753795772147,0.4406439905739289,16527.082880865633
2,2198,9960.533333333333,1270.7466666666667,-13107.6,367.2998169827417,650.1574187499176,290.65324128016636,10664.0,3012.0,-12424.0,8748.0,-1344.0,-14364.0,99347133.44,2037501.76,171893657.06666666,368.0,588.0,267.0,0.26766208338123115,0.7562533821992224,0.45977478951355877,16530.44299433593
2,2236,9953.546666666667,1345.5733333333333,-13111.706666666667,363.272470498691,616.392584280145,286.5720513626934,10664.0,3012.0,-12424.0,8748.0,-1344.0,-14364.0,99205058.13333334,2190507.4133333336,171998975.25333333,332.0,381.0,245.0,0.3118231262160884,0.7490894675765153,0.49772194019443894,16533.95516399373
2,2274,10076.24,1297.76,-13031.013333333334,251.4691678914137,272.6844251755741,191.22116293850834,10664.0,2912.0,-12424.0,9076.0,932.0,-13588.0,101593849.28,1758537.8133333332,169843874.02666667,257.0,280.0,238.0,0.07401151951920965,0.8583952760669753,0.21793330451347337,16528.471349945357
2,2312,10093.44,1003.2,-13036.32,173.2699042919264,419.2213735009225,144.32298592624343,10792.0,1588.0,-12432.0,9672.0,-556.0,-13368.0,101907553.49333334,1182156.8,169966468.26666668,234.0,242.0,188.0,-0.1655324664320588,0.7752135782685634,-0.05515584133527767,16524.24818549121
2,2350,10356.346666666666,1083.12,-12808.453333333333,450.2062192176183,495.4745324097563,414.2436092714312,11384.0,1968.0,-11696.0,9708.0,-556.0,-13368.0,107456601.92,1418643.9466666668,164228074.56,327.0,322.0,274.0,0.5590473844574644,0.9728249514809291,0.5828790446843758,16525.689247538026
