_id,x_mean,x_std,x_max,x_min,y_mean,y_std,y_max,y_min,z_mean,z_std,z_max,z_min,sma,x_energy,y_energy,z_energy,x_iqr,y_iqr,z_iqr,xy_corr,xz_corr,yz_corr,x_mean_pos1,x_std_pos1,x_max_pos1,x_min_pos1,y_mean_pos1,y_std_pos1,y_max_pos1,y_min_pos1,z_mean_pos1,z_std_pos1,z_max_pos1,z_min_pos1,sma_pos1,x_energy_pos1,y_energy_pos1,z_energy_pos1,x_iqr_pos1,y_iqr_pos1,z_iqr_pos1,xy_corr_pos1,xz_corr_pos1,yz_corr_pos1
31,12623.527777777776,2511.2472045282934,17972.0,2672.0,-1611.1979166666667,435.5624691486202,728.0,-4028.0,-9478.829861111111,4147.475720902527,0.0,-19308.0,16591.35724573411,165654341.80555555,2785508.708333333,107034838.4861111,4041.0,397.0,5099.0,-0.2372841642235638,0.9123346394284436,-0.2044774075309073,14805.028724114896,132.93325836569886,15640.0,13432.0,580.8363393453574,127.02240134431068,1264.0,-208.0,-7333.464261857048,230.84956779949732,-5840.0,-9576.0,16534.48270234904,219206534.96860388,353494.76553106215,53832954.00400802,108.0,136.0,204.0,0.1790685986725549,0.8466838819623922,0.1891696059231657
32,16341.840924541128,199.75951319814004,17224.0,14352.0,-720.5547246770905,273.0110402998775,852.0,-2332.0,-2312.747790618627,862.2593298964149,-28.0,-5772.0,16545.921881298007,267095641.53908905,593683.4697484705,6091788.062542488,216.0,336.0,1308.0,0.2417722429396091,0.7793695907433197,0.29170546926397,14805.028724114896,132.93325836569886,15640.0,13432.0,580.8363393453574,127.02240134431068,1264.0,-208.0,-7333.464261857048,230.84956779949732,-5840.0,-9576.0,16534.48270234904,219206534.96860388,353494.76553106215,53832954.00400802,108.0,136.0,204.0,0.1790685986725549,0.8466838819623922,0.1891696059231657
33,16086.297182349814,4071.561630778961,32767.0,4912.0,-1124.4572036150985,2154.186235109334,6840.0,-10944.0,-3597.267410951621,3246.9979551078586,0.0,-19604.0,16956.19471559743,275337757.9601276,5902455.289739501,23477723.5513025,4360.0,2988.0,3964.0,-0.1510667535399244,-0.1013179525000891,0.1056072345337706,14805.028724114896,132.93325836569886,15640.0,13432.0,580.8363393453574,127.02240134431068,1264.0,-208.0,-7333.464261857048,230.84956779949732,-5840.0,-9576.0,16534.48270234904,219206534.96860388,353494.76553106215,53832954.00400802,108.0,136.0,204.0,0.1790685986725549,0.8466838819623922,0.1891696059231657
35,16426.271604938273,107.58008023858122,17004.0,15656.0,277.37345679012344,211.4076726414413,2096.0,-312.0,-1767.0277777777778,598.9982519102246,-4.0,-3952.0,16535.73158534163,269833963.38271606,121594.75308641976,3480909.222222222,105.0,240.0,720.0,-0.1733158460540066,0.6699433534109784,-0.2334959262088237,14805.028724114896,132.93325836569886,15640.0,13432.0,580.8363393453574,127.02240134431068,1264.0,-208.0,-7333.464261857048,230.84956779949732,-5840.0,-9576.0,16534.48270234904,219206534.96860388,353494.76553106215,53832954.00400802,108.0,136.0,204.0,0.1790685986725549,0.8466838819623922,0.1891696059231657
36,15820.581242532857,4145.501802139607,32767.0,7660.0,702.0023894862604,2377.3277588831243,9980.0,-11884.0,-4138.702508960573,2683.950406532827,-4.0,-15204.0,16689.698914911125,267465710.10215053,6141118.470728793,24328145.02270012,4144.0,3021.0,3341.0,0.0035371537897463,-0.28694213692573,-0.0267652721160839,14805.028724114896,132.93325836569886,15640.0,13432.0,580.8363393453574,127.02240134431068,1264.0,-208.0,-7333.464261857048,230.84956779949732,-5840.0,-9576.0,16534.48270234904,219206534.96860388,353494.76553106215,53832954.00400802,108.0,136.0,204.0,0.1790685986725549,0.8466838819623922,0.1891696059231657
37,10445.846419327008,696.1054060438838,12772.0,7928.0,-326.93011216566003,306.6953748752158,956.0,-1328.0,-12768.013805004312,543.9308600047999,-11064.0,-14768.0,16525.791080750976,109599852.06557377,200864.1932700604,163317782.03278688,1076.0,516.0,866.0,0.3323577624569857,0.9545600267700954,0.3213327242203105,15992.340828402366,152.4421517839503,16772.0,14752.0,-16.74319526627219,305.71135977004275,708.0,-3388.0,-4125.644970414201,409.5162990170186,-2580.0,-5852.0,16524.235213783326,255778190.03076923,93684.46863905326,17188550.78816568,168.0,244.0,407.0,-0.0471703194978781,0.7264192032375645,-0.252964027916679
38,13597.257976298995,591.4722507024417,15304.0,9784.0,-58.50136736554239,1072.1935154312391,4000.0,-3956.0,-9299.671832269829,635.3007290215177,-7768.0,-13308.0,16528.03836470835,185234944.9917958,1151973.3965360073,86887135.2853236,452.0,1180.0,616.0,0.0008699820486355,0.7401926511924071,-0.0115761626700954,15992.340828402366,152.4421517839503,16772.0,14752.0,-16.74319526627219,305.71135977004275,708.0,-3388.0,-4125.644970414201,409.5162990170186,-2580.0,-5852.0,16524.235213783326,255778190.03076923,93684.46863905326,17188550.78816568,168.0,244.0,407.0,-0.0471703194978781,0.7264192032375645,-0.252964027916679
41,14107.949232585595,1927.3127186283305,21672.0,5.0,564.482880755608,1223.3495522828505,3284.0,-3348.0,-8546.685950413223,1326.8581611247205,5.0,-13488.0,16578.964966021947,202744380.3459268,1813458.126328217,74804314.74025974,1614.0,2084.0,1640.0,0.0568438826700345,-0.5712580997407481,0.010907601403852,15992.340828402366,152.4421517839503,16772.0,14752.0,-16.74319526627219,305.71135977004275,708.0,-3388.0,-4125.644970414201,409.5162990170186,-2580.0,-5852.0,16524.235213783326,255778190.03076923,93684.46863905326,17188550.78816568,168.0,244.0,407.0,-0.0471703194978781,0.7264192032375645,-0.252964027916679
43,16340.95202257761,194.14886573223745,17244.0,15256.0,-577.170272812794,604.7861586725222,1152.0,-3284.0,-2221.7046095954843,497.9460631205203,-308.0,-3748.0,16520.287564058177,267064371.3264346,698547.7328316086,5183688.398871119,184.0,638.0,568.0,0.1686946425771749,0.4887557301659057,-0.0333180346591074,15992.340828402366,152.4421517839503,16772.0,14752.0,-16.74319526627219,305.71135977004275,708.0,-3388.0,-4125.644970414201,409.5162990170186,-2580.0,-5852.0,16524.235213783326,255778190.03076923,93684.46863905326,17188550.78816568,168.0,244.0,407.0,-0.0471703194978781,0.7264192032375645,-0.252964027916679
44,16128.521235521235,2331.213285842736,26956.0,10912.0,-987.5250965250964,1284.2189913433942,2648.0,-4420.0,-3210.3088803088804,1010.7853459621798,356.0,-8100.0,16549.741654109326,265558506.9189189,2622832.3243243243,11326783.938223938,2139.0,2036.0,1340.0,-0.0816425646170929,-0.3559167377221824,0.068765244644611,15992.340828402366,152.4421517839503,16772.0,14752.0,-16.74319526627219,305.71135977004275,708.0,-3388.0,-4125.644970414201,409.5162990170186,-2580.0,-5852.0,16524.235213783326,255778190.03076923,93684.46863905326,17188550.78816568,168.0,244.0,407.0,-0.0471703194978781,0.7264192032375645,-0.252964027916679
