_id,x_mean,x_std,x_max,x_min,y_mean,y_std,y_max,y_min,z_mean,z_std,z_max,z_min,sma,x_energy,y_energy,z_energy,x_iqr,y_iqr,z_iqr,xy_corr,xz_corr,yz_corr
34,14805.028724114896,132.93325836569886,15640.0,13432.0,580.8363393453574,127.02240134431068,1264.0,-208.0,-7333.464261857048,230.84956779949735,-5840.0,-9576.0,16534.48270234904,219206534.96860388,353494.76553106215,53832954.00400802,108.0,136.0,204.0,0.17906859867255495,0.8466838819623922,0.18916960592316573
35,16426.271604938273,107.58008023858122,17004.0,15656.0,277.37345679012344,211.4076726414413,2096.0,-312.0,-1767.0277777777778,598.9982519102246,-4.0,-3952.0,16535.73158534163,269833963.38271606,121594.75308641975,3480909.222222222,105.0,240.0,720.0,-0.17331584605400663,0.6699433534109784,-0.23349592620882376
36,15820.581242532855,4145.501802139607,32767.0,7660.0,702.0023894862604,2377.3277588831243,9980.0,-11884.0,-4138.702508960573,2683.950406532827,-4.0,-15204.0,16689.698914911125,267465710.10215053,6141118.470728793,24328145.02270012,4144.0,3021.0,3341.0,0.003537153789746341,-0.28694213692573,-0.026765272116083944
37,10445.846419327007,696.1054060438838,12772.0,7928.0,-326.93011216566003,306.6953748752158,956.0,-1328.0,-12768.013805004313,543.9308600047999,-11064.0,-14768.0,16525.791080750976,109599852.06557377,200864.1932700604,163317782.03278688,1076.0,516.0,866.0,0.3323577624569857,0.9545600267700954,0.3213327242203105
38,13597.257976298997,591.4722507024417,15304.0,9784.0,-58.501367365542386,1072.1935154312393,4000.0,-3956.0,-9299.671832269827,635.3007290215177,-7768.0,-13308.0,16528.03836470835,185234944.9917958,1151973.3965360073,86887135.2853236,452.0,1180.0,616.0,0.0008699820486355386,0.7401926511924071,-0.011576162670095442
41,14107.949232585595,1927.3127186283305,21672.0,5.0,564.482880755608,1223.3495522828503,3284.0,-3348.0,-8546.685950413223,1326.8581611247205,5.0,-13488.0,16578.964966021947,202744380.3459268,1813458.1263282173,74804314.74025974,1614.0,2084.0,1640.0,0.056843882670034526,-0.5712580997407481,0.010907601403852066
42,15992.340828402366,152.4421517839503,16772.0,14752.0,-16.74319526627219,305.71135977004275,708.0,-3388.0,-4125.644970414201,409.51629901701864,-2580.0,-5852.0,16524.235213783326,255778190.03076923,93684.46863905326,17188550.78816568,168.0,244.0,407.0,-0.047170319497878116,0.7264192032375645,-0.252964027916679
43,16340.95202257761,194.14886573223745,17244.0,15256.0,-577.170272812794,604.7861586725222,1152.0,-3284.0,-2221.7046095954843,497.9460631205203,-308.0,-3748.0,16520.287564058177,267064371.3264346,698547.7328316086,5183688.398871119,184.0,638.0,568.0,0.1686946425771749,0.4887557301659057,-0.033318034659107404
44,16128.521235521235,2331.2132858427353,26956.0,10912.0,-987.5250965250965,1284.2189913433942,2648.0,-4420.0,-3210.3088803088804,1010.7853459621798,356.0,-8100.0,16549.741654109326,265558506.9189189,2622832.3243243243,11326783.938223938,2139.0,2036.0,1340.0,-0.08164256461709297,-0.3559167377221824,0.068765244644611
46,13205.2304964539,400.53107546511626,14676.0,11780.0,1514.7198581560283,283.75147846326803,2572.0,604.0,-9759.216312056738,476.2463533808182,-8700.0,-11568.0,16503.763162863106,174538466.4964539,2374855.4609929076,95469013.07801418,684.0,396.0,828.0,-0.6057962728480321,0.9570137643040239,-0.5833042294586547
47,13554.25422483468,410.97300258243683,14220.0,11024.0,2042.3247612049963,557.1850392661491,5596.0,1176.0,-9157.228508449669,418.61007577411857,-8376.0,-11196.0,16504.209094746533,183886582.3012491,4481317.490080823,84029939.59735489,384.0,412.0,492.0,-0.7888851713547398,0.9315668240670227,-0.6790333228150689
48,13648.803088803088,1366.1811158892515,19940.0,9916.0,1396.4571428571428,1550.6653189866797,5084.0,-3444.0,-9104.30888030888,1087.8396115415437,-5288.0,-13504.0,16578.591849643515,188154835.32355213,4352798.677992278,84070921.38996139,1220.0,2444.0,1542.0,-0.07271133078056066,-0.10011571317462088,0.08508716087978664
49,14679.067782426779,261.31753866656896,15616.0,11956.0,-573.4242677824268,549.7045227049915,6672.0,-1628.0,-7452.928870292887,388.90384313865536,-5916.0,-10972.0,16488.27760126569,215543289.2451883,630864.020083682,55697331.66192468,176.0,160.0,279.0,-0.44565619579575694,0.8759626367915465,-0.21997122609049444
50,15665.315002988644,192.59823037958998,16672.0,14412.0,-554.5630603705918,568.8868935086654,1804.0,-2908.0,-5068.9444112372985,371.59065479504267,-4072.0,-7456.0,16489.075416365682,245439166.04901373,630979.0412432755,25832194.52480574,208.0,476.0,464.0,0.2776386688983504,0.7737727413135589,0.1433373749513041
51,15573.65780730897,1601.0383670860726,25012.0,12548.0,-624.5581395348837,1586.4285796549434,2772.0,-7056.0,-5293.063122923588,1111.6660301528188,-324.0,-9876.0,16574.787524824023,245100012.34551495,2904738.1794019933,29251292.172757477,1577.0,2729.0,1565.0,-0.07708356695659069,-0.08417762957210176,-0.04190460243200731
52,8909.441975308642,478.60408344815556,10952.0,6328.0,1365.7283950617284,527.987503418662,4068.0,-1512.0,-13861.718518518519,342.16056022982974,-12160.0,-15144.0,16552.732322851698,79606935.38765432,2143640.6913580247,192264169.6,376.0,614.0,256.0,0.23793543200943548,0.862141384003034,0.24908886635755373
53,12191.952380952382,417.67734261422413,13392.0,9632.0,1555.098901098901,542.5246422604571,4572.0,-1288.0,-11051.71794871795,393.42481421971496,-9848.0,-13232.0,16546.881265463864,148817997.46520147,2712396.043956044,122295110.95970696,424.0,408.0,465.0,-0.2785195190971485,0.8313037818548481,-0.1390488393977164
54,12269.933876377576,2831.563041052239,26448.0,332.0,986.3747005270724,1774.9741957240342,17476.0,-15024.0,-10952.233828461907,2542.8033825158573,-3844.0,-28388.0,16692.13879123392,158565184.82798275,4121958.8461907045,126414176.72065166,2656.0,2198.0,3176.0,0.15972737352074443,-0.4056365785602045,0.04867695432823434
55,16438.13660245184,174.798872001371,17236.0,14888.0,-1197.555166374781,327.1614808509729,2232.0,-2916.0,147.90542907180387,753.5600425725275,4004.0,-5860.0,16503.062134973952,270242862.85113835,1541079.285464098,589231.5096322242,92.0,152.0,447.0,0.35413663829160275,0.35465800852668944,0.15473347669511453
56,16137.980506822612,247.3584704103509,18240.0,14600.0,-2767.8830409356724,570.754777659071,236.0,-6316.0,-1616.1507472384665,510.88056074930194,532.0,-4420.0,16471.712902063056,260495561.294347,7986725.87394412,2872772.5951916827,128.0,344.0,466.0,0.4943368707511099,0.4509884419648705,0.24092856429130827
57,15713.469230769231,3092.2001399719466,28528.0,10836.0,-1850.0057692307691,1508.9752888252067,4512.0,-6748.0,-4728.340384615384,1568.7898245820606,3480.0,-14036.0,16637.85780821351,256470220.0,5698433.053846153,24817121.084615383,3052.0,1969.0,1925.0,-0.21146507078676788,-0.3177761230632652,0.26531123602187795
67,7206.951126221845,1281.8208435293345,14748.0,2780.0,1856.9723756906078,1036.9877588026977,5436.0,-3288.0,-14714.954526136846,778.2153849875058,-8428.0,-18064.0,16588.248057858986,53582510.92562686,4523233.006374841,217135248.50998726,2100.0,1676.0,1112.0,0.4443881408653715,0.8977423405048482,0.4890020388369881
68,14278.101886792452,759.3949387212041,18596.0,7492.0,637.2547169811321,1150.616554350437,4964.0,-6532.0,-8122.433962264151,1052.46545147466,-1084.0,-13148.0,16526.742403066284,204440602.14339623,1729387.5396226414,67081094.50566038,773.0,890.0,1250.0,0.009507616391274492,0.7991918991515983,0.05262623507869232
69,14913.953596287703,2497.102645839864,27188.0,9032.0,825.3967517401392,1335.075270212243,4824.0,-3900.0,-7002.334106728538,1679.1874230113826,1396.0,-13360.0,16614.01570384641,228654299.712297,2461637.995359629,51849082.26450116,2826.0,1864.0,2196.0,0.1285222702489696,-0.4119508648893499,0.049446875685002
70,10854.546867411365,428.238839331281,15968.0,6020.0,308.36911121903836,669.7950455544641,4824.0,-8452.0,-12480.369111219039,434.59679573899854,-5564.0,-15416.0,16566.69122061598,118004487.13355999,543499.0267119961,155948395.7960175,260.0,272.0,234.0,-0.35846975653104973,0.7512215652734612,-0.490608525967279
71,13224.002706359946,361.8666568109865,14420.0,11060.0,-582.0405953991881,245.54301610610037,404.0,-1904.0,-9866.17050067659,470.87055824586383,-8432.0,-11920.0,16521.53368683577,175005106.45737484,399021.8349120433,97562889.41813262,288.0,268.0,364.0,0.33954146841735783,0.9582366123635708,0.29643737357341776
72,12169.461426491995,3409.7598650025548,30724.0,-668.0,-655.6098981077147,2366.889626505074,6596.0,-10540.0,-11005.494420184377,2776.7217051336124,-4540.0,-22580.0,16764.482603454537,159716612.5725376,6029272.663755459,128827349.86899564,3176.0,3904.0,3288.0,-0.10456737904940332,-0.3202990630131171,0.08418021456793048
75,11517.746202841745,848.9266950654037,13588.0,10092.0,643.7295443410093,431.8871917824421,2648.0,-1068.0,-11784.96423321901,886.81321241856,-9452.0,-13160.0,16542.073020825028,133378801.02694757,600822.882900539,139671434.3321901,1608.0,552.0,1584.0,0.6293167588742955,0.9834081643798837,0.6570048837181724
76,14438.435185185184,393.7370408115699,16772.0,12716.0,1318.812962962963,853.5405303667253,5768.0,-4396.0,-7857.133333333333,575.0755834085641,-5704.0,-9700.0,16526.72328421424,208623367.68148148,2467461.7851851853,62065103.03703704,568.0,912.0,892.0,-0.43045884230453063,0.8564278792647522,-0.43275208980430313
78,14744.596361848575,3393.8909266567216,32767.0,6688.0,-375.2684365781711,2297.470008607162,8380.0,-11412.0,-7332.324483775811,2520.148906218318,7196.0,-23320.0,16745.7780680186,228915954.5186824,5416599.771878073,60111010.35201573,3184.0,3699.0,2490.0,-0.06122137526954265,-0.32905287918195925,0.06909324643824218
80,15592.250122369065,3400.7539779588637,32767.0,7104.0,795.8492413117964,1493.9545221930807,6728.0,-6516.0,-4946.347528144885,2764.031686536847,10656.0,-18432.0,16632.641350288406,254677730.64170337,2864183.667156143,32102485.497797355,3712.0,1960.0,2842.0,0.09386445996775547,-0.2577380070080032,0.0678444177745293
82,12477.854870003881,315.35080394732745,13696.0,11828.0,-200.08381839348078,384.5298724226952,804.0,-2392.0,-10842.089251067133,406.1180791408685,-8992.0,-11560.0,16543.73123675091,155796269.69654638,187839.37912301125,117715767.22079939,232.0,320.0,268.0,-0.5268299270632276,0.9571014944284646,-0.600609100438136
83,15627.994691439946,308.2039992457656,18348.0,13456.0,-1301.3855341738554,679.3051303813672,3568.0,-3260.0,-5041.082946250829,711.0876583023975,-3224.0,-7760.0,16503.247933410814,244329144.74850696,2154753.5607166556,25917827.397478435,316.0,460.0,940.0,-0.30963806749605277,0.6787388679151957,-0.502642106328016
84,15024.22972972973,3394.447086790075,32767.0,600.0,-1528.9294660514172,1869.5100136222518,7236.0,-16400.0,-6485.379037574159,1757.8414653335165,-140.0,-15688.0,16589.024648870203,237245952.2804878,5831541.036255768,45149129.418589324,2987.0,2332.0,2020.0,-0.1714681207112463,-0.528907631576661,0.1658972253971867
87,5791.00320855615,733.4376726616738,9540.0,3288.0,-529.6491978609625,1649.624841484414,3092.0,-5464.0,-15401.319786096257,274.664340865986,-13328.0,-16528.0,16562.83840041698,34073361.31764706,3000335.170053476,237276051.31122994,744.0,1172.0,244.0,0.5965359042983938,0.5046858063267877,-0.15305827959772048
88,13408.565217391304,415.81619149533043,15712.0,11168.0,-142.72705314009661,995.0426065747665,2760.0,-2948.0,-9595.282608695652,594.8638960529344,-6220.0,-11740.0,16533.807863708727,179962419.88405797,1009882.9082125603,92423097.71014492,481.0,1829.0,745.0,-0.12799230234012696,0.8658847455581512,-0.26030706774727097
93,12671.4363541121,2115.9649252141216,29944.0,5392.0,-112.76689366160294,1777.0464503265757,7620.0,-7476.0,-10481.540073336826,2735.712901943044,-3608.0,-21456.0,16683.772169504762,165040261.47302252,3168956.245154531,117342886.94814038,2256.0,2200.0,3140.0,0.014490463880327263,-0.18217287861312992,-0.05479654512108176
94,13866.16,364.02822823431023,15144.0,11460.0,645.6391836734693,302.3389163678688,2408.0,-768.0,-8927.175510204082,527.3789293561834,-6840.0,-12204.0,16518.899334611786,192402855.60816327,508221.46612244897,79972477.6032653,459.0,376.0,700.0,0.37899206768169,0.9456712583410614,0.40120743131934594
95,14332.621784345922,1757.8436353243362,18748.0,4540.0,-241.04214559386972,1677.9664581558054,5536.0,-11268.0,-7631.695675971538,1692.900804554492,-1980.0,-16352.0,16500.68096634445,208512370.15435138,2872131.6606458677,61107123.38040504,668.0,320.0,1378.0,0.7430497625631722,0.8655338355956587,0.5270414095626178
